x,y,urban,alarm,firetype,heatsource,objignited,day,time,dayweek,label
8.169,10.929,1,1,5,NA,NA,676,1.68333333333333,7,suspicious
11.94,19.917,0,1,3,NA,7,704,8.61666666666667,7,other
6.807,9.084,1,1,1,4,6,711,1.36666666666667,7,other
9.248,9.997,0,1,2,5,6,575,13.8666666666667,4,other
8.525,12.09,1,1,1,5,7,580,11.75,2,other
7.136,8.487,1,1,6,NA,NA,593,17.7,1,other
8.772,12.015,1,1,3,8,7,675,16.4,6,other
7.73,13.059,1,1,2,NA,6,715,15.3666666666667,4,other
5.961,9.623,1,4,6,NA,NA,727,7.83333333333333,2,other
5.646,5.861,0,1,2,2,7,630,16.0166666666667,3,other
8.235,11.155,1,1,2,7,9,724,3.7,6,suspicious
7.037,10.703,1,4,6,NA,NA,725,22.4166666666667,7,other
6.564,12.116,1,1,3,NA,7,730,17.4,5,suspicious
12.902,9.671,0,1,2,7,9,731,23.4666666666667,6,suspicious
8.498,11.154,1,1,6,NA,NA,676,21.95,7,suspicious
6.655,15.004,0,1,5,NA,NA,641,18.6666666666667,7,other
11.898,9.497,0,1,6,NA,NA,690,12.8,7,other
7.656,9.85,1,1,5,NA,NA,696,23.9833333333333,6,other
6.594,9.888,1,4,6,NA,NA,730,7.93333333333333,5,suspicious
7.721,11.802,1,1,6,NA,NA,674,11.8333333333333,5,other
15.255,24.202,0,1,6,NA,NA,674,20.65,5,other
7.466,11.61,1,1,1,5,4,681,9.48333333333333,5,other
11.898,9.497,0,1,3,7,8,690,12.8,7,other
15.814,0.856,0,1,3,9,7,724,14.8166666666667,6,other
7.992,11.777,1,1,3,9,7,730,15.5666666666667,5,other
4.666,19.106,0,1,3,9,7,707,14.1166666666667,3,other
1.292,11.945,0,1,3,1,7,722,16.3166666666667,4,other
8.313,10.542,1,1,1,4,6,2,16.5333333333333,5,other
8.183,12.129,1,1,3,7,7,11,12.5,7,suspicious
8.382,11.386,1,1,5,NA,NA,66,2.81666666666667,6,other
1.786,9.697,0,1,3,1,7,107,13.9833333333333,5,other
7.199,12.391,1,1,6,NA,NA,164,22.0333333333333,6,suspicious
7.7,10.88,1,4,5,NA,NA,272,19.3333333333333,2,suspicious
7.601,12.455,1,1,2,4,6,291,13.4666666666667,7,other
6.813,12.017,1,1,3,6,7,298,3.85,7,other
8.316,10.971,1,4,6,NA,NA,310,12.4833333333333,5,other
6.944,10.353,1,1,6,NA,NA,337,14.4833333333333,4,other
11.893,9.66,0,1,6,NA,NA,346,13.9666666666667,6,other
6.125,19.357,0,1,3,9,7,347,19.7333333333333,7,other
6.26,12.379,1,1,1,7,9,349,15.2,2,other
8.224,10.232,1,1,1,5,7,377,21.9,2,other
9.013,12.307,1,1,1,5,7,380,15.2,5,other
6.325,9.787,1,1,6,NA,NA,384,10.2,2,other
6.819,9.809,1,1,6,NA,NA,389,16.8666666666667,7,other
6.538,12.025,1,1,6,NA,NA,402,1.4,6,other
8.429,11.21,1,1,3,NA,7,417,2.5,7,other
3.687,9.647,0,1,2,4,5,425,15.5166666666667,1,other
7.446,12.168,1,1,3,7,7,435,8.46666666666667,4,suspicious
5.408,16.577,0,1,3,7,7,444,19.95,6,other
9.069,11.203,1,1,1,5,7,453,10.7333333333333,1,other
5.582,17.208,0,1,3,1,7,472,16.6333333333333,6,other
7.829,8.755,1,1,1,4,6,477,15.3333333333333,4,other
3.218,9.665,0,1,3,1,7,493,19.45,6,other
7.683,9.688,1,5,1,4,8,514,6.86666666666667,6,other
5.58,16.424,0,1,1,5,6,539,6.15,3,other
7.277,17.743,0,4,2,7,9,555,9.05,5,other
6.397,19.338,0,4,2,7,9,597,21.7,5,other
14.327,21.961,0,1,6,NA,NA,626,18.7333333333333,6,other
7.425,11.519,1,1,1,5,5,628,11.3,1,other
6.079,9.506,0,1,3,7,7,633,23.7333333333333,6,other
8.077,9.256,1,1,1,7,4,674,18.6833333333333,5,suspicious
6.721,12.653,1,1,5,NA,NA,680,16.9333333333333,4,other
6.725,8.278,1,1,3,7,7,681,10.4666666666667,5,other
14.681,21.93,0,1,3,1,7,696,15.1333333333333,6,other
4.666,19.106,0,1,2,7,9,707,14.1166666666667,3,suspicious
12.933,12.787,0,2,3,8,7,709,10.5333333333333,5,other
7.963,11.453,1,1,3,7,7,1076,14.9833333333333,1,suspicious
6.364,10.281,1,1,1,3,8,1254,21.5166666666667,4,other
6.046,11.977,1,5,1,5,NA,1176,14.6666666666667,3,other
0.742,11.605,0,1,2,4,9,1172,15.8833333333333,6,other
11.95,19.498,0,1,2,NA,2,1299,22.05,7,other
10.101,19.545,0,1,6,NA,NA,1033,0.05,7,other
8.316,10.971,1,1,5,NA,NA,1421,8.51666666666667,3,suspicious
1.145,13.949,0,1,2,7,2,904,14.6,4,other
5.962,9.636,1,1,3,NA,NA,1437,12.3666666666667,5,other
5.89,11.447,1,1,1,NA,9,997,17.1,6,other
6.42,13.121,1,4,3,NA,7,1340,13.7,6,other
7.553,10.063,1,1,1,2,3,924,20.7166666666667,3,other
8.421,11.6,1,1,5,NA,NA,860,19.9666666666667,2,other
5.838,12.1,1,1,1,7,3,1427,16.8833333333333,2,other
6.845,12.221,1,1,3,7,7,787,17.5666666666667,6,suspicious
9.313,9.824,0,1,3,NA,7,1322,22.3,2,other
7.754,12.58,1,1,2,NA,6,959,7.7,3,other
5.267,8.86,0,1,2,7,6,1099,3.76666666666667,3,suspicious
8.419,17.461,0,1,3,NA,7,1429,17.65,4,other
6.526,9.925,1,1,3,7,7,1118,16.0166666666667,1,other
16.797,4.768,0,1,3,1,7,871,14.2166666666667,6,other
1.824,7.722,0,2,5,NA,NA,1190,14.6666666666667,3,other
7.623,11.2,1,1,1,8,3,1309,15.2166666666667,3,other
8.316,10.971,1,1,3,NA,7,1019,16.6333333333333,7,other
7.278,10.713,1,1,2,5,6,1024,13.2833333333333,5,other
7.949,12.792,1,1,5,NA,NA,1118,18.3,1,other
5.397,9.311,0,1,5,NA,NA,779,23.0333333333333,5,other
8.228,12.738,1,1,1,5,5,1012,18.85,7,other
6.161,19.254,0,1,2,7,6,1033,0.166666666666667,7,suspicious
7.199,12.391,1,4,6,NA,NA,741,17.0166666666667,2,suspicious
7.544,9.533,1,1,3,7,7,1138,20.3833333333333,7,suspicious
7.9,9.989,1,1,6,NA,NA,1378,2.16666666666667,2,suspicious
8.278,11.822,1,1,3,7,7,1099,23.4166666666667,3,suspicious
7.352,11.711,1,1,2,9,9,1057,23.6333333333333,3,other
7.687,11.291,1,1,3,7,7,1097,4.35,1,suspicious
6.666,12.955,1,1,3,5,7,1075,15.35,7,other
15.668,1.03,0,1,3,5,7,1180,12.0333333333333,7,other
7.094,11.056,1,1,5,NA,NA,885,19.5,6,other
8.272,11.216,1,4,3,7,7,1090,19.8166666666667,1,suspicious
7.592,12.557,1,1,5,NA,NA,1200,14.9166666666667,6,other
16.279,0.046,0,1,3,9,7,1412,9.53333333333333,1,other
6.403,8.661,1,4,2,7,9,946,21.55,4,suspicious
7.666,10.128,1,1,1,5,7,950,20.2666666666667,1,other
6.688,13.055,1,1,6,NA,NA,1250,17.9333333333333,7,other
6.897,12.114,1,1,1,9,1,885,19.3166666666667,6,other
9.143,14.596,0,1,3,1,7,1230,20.2166666666667,1,other
6.995,11.147,1,1,1,4,NA,1260,17.6,3,other
6.123,19.363,0,1,3,7,7,1427,21,2,suspicious
7.203,17.586,0,1,3,5,7,1392,11.3833333333333,2,other
6.475,11.909,1,1,5,NA,NA,1155,9.53333333333333,3,other
7.705,10.883,1,1,6,NA,NA,990,6.83333333333333,6,suspicious
6.674,10.945,1,1,1,NA,9,957,7.76666666666667,1,other
2.074,15.772,0,1,1,NA,NA,1348,11.7833333333333,7,other
7.724,12.733,1,1,5,NA,NA,1351,18.8,3,other
7.705,10.883,1,1,3,7,7,961,16.65,5,suspicious
8.676,12.034,1,1,3,7,7,1099,23.55,3,suspicious
6.882,12.65,1,1,1,4,6,1310,11.2666666666667,4,other
11.159,11.887,0,1,1,NA,NA,1343,18.3833333333333,2,other
7.777,12.089,1,1,2,NA,7,1395,7.16666666666667,5,other
7.04,8.589,1,1,1,NA,NA,1241,19.7,5,other
7.919,10.429,1,1,2,7,9,816,4.81666666666667,7,suspicious
7.308,11.698,1,1,1,NA,NA,926,19.2,5,other
